typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","487.76","false","8","kg","487.76","false","487.76","false","0","false","96423.135",,"96423.135","0","false","true",
"C","A","20210101","2021","52","2021","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34262.77","false","8","kg","34262.77","false","34262.77","false","0","false","2355472.647",,"2355472.647","0","false","true",
"C","A","20210101","2021","52","2021","20","AND","Andorra","X","Export","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18939.11","false","8","kg","18939.11","false","18939.11","false","0","false",,"1538086.968","1538086.968","0","false","true",
"C","A","20210101","2021","52","2021","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","19122.419","false",,"false","0","false","94199.42","88094.95","94199.42","0","false","true",
"C","A","20210101","2021","52","2021","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20","false","8","kg","20","false","20","false","0","false","3","3","3","0","false","true",
"C","A","20210101","2021","52","2021","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","340.03","false","5","u","1075","false","340.03","false","0","false","23938.941",,"23938.941","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126471.113","false","8","kg","126471.113","false","126471.113","false","0","false","2593791.96",,"2593791.96","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11.52","false","8","kg","11.52","false","11.52","false","0","false",,"4900.29","4900.29","0","false","true",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10082.6","false","8","kg","10082.6","false","10082.6","false","0","false","741073.37","706363.48","741073.37","0","false","true",
"C","A","20210101","2021","52","2021","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2117.63","false","8","kg","2117.63","false","2117.63","false","0","false","0","191338.47","191338.47","0","false","true",
"C","A","20210101","2021","52","2021","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","244930.787","true","-1","N/A","0","false","244930.787","true","0","false","28958858.744","27568734.12","28958858.744","6","false","true",
"C","A","20210101","2021","52","2021","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45996.19","true","-1","N/A","0","false","45996.19","true","497326.78","false",,"6814005.899","6814005.899","6","false","true",
"C","A","20210101","2021","52","2021","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","582076.301","true","-1","N/A","0","false","582076.301","true","0","false","60171601.028",,"60171601.028","6","false","true",
"C","A","20210101","2021","52","2021","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","178731.91","true","-1","N/A","0","false","178731.91","true","0","false",,"23663999.64","23663999.64","6","false","true",
"C","A","20210101","2021","52","2021","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1271.418","false","8","kg","1271.418","false","1271.418","false","0","false","80484",,"80484","0","false","true",
"C","A","20210101","2021","52","2021","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18837.03","false","5","u","21594","false","18837.03","false","0","false","588623.881",,"588623.881","0","false","true",
"C","A","20210101","2021","52","2021","48","BHR","Bahrain","X","Export","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","74.51","false","5","u","63","false","74.51","false","0","false",,"5158.058","5158.058","0","false","true",
"C","A","20210101","2021","52","2021","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H5","HS","true","420310","Apparel; articles of apparel, of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18765.752","false","5","u","12663","false","18765.752","false","0","false","1923873.66",,"1923873.66","0","false","true",
