"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6423908","89.1503055","89.2011455","89.2851015","89.2747621","88.5578609","87.3500329","87.2658497","88.3722215","88.3450703","86.5724939","86.551668","86.49981","86.5061643","88.683848","88.6972605","88.6898932","88.6609843","88.710743","88.7188328","88.6165004","",
"Aruba","ABW","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6423908","89.1503055","89.2011455","89.2851015","89.2747621","88.5578609","87.3500329","87.2658497","88.3722215","88.3450703","86.5724939","86.551668","86.49981","86.5061643","88.683848","88.6972605","88.6898932","88.6609843","88.710743","88.7188328","88.6165004","",
"Africa Eastern and Southern","AFE","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7644852","","17.2307808","","17.2032846","","24.3251111","25.1139855","28.4642015","29.4429584","29.2228603","25.5733798","22.5910622","24.0575312","22.6613034","22.3148664","23.1217311","19.7786501","26.2877904","23.5106211","23.4723617","21.2442702","21.7827865","21.6637858","21.6583487","24.0335589","24.0573058","25.0303745","28.2258568","",
"Afghanistan","AFG","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7644852","","17.2307808","","17.2032846","","24.3251111","25.1139855","28.4642015","29.4429584","29.2228603","25.5733798","22.5910622","24.0575312","22.6613034","22.3148664","23.1217311","19.7786501","26.2877904","23.5106211","23.4723617","21.2442702","21.7827865","21.6637858","21.6583487","24.0335589","24.0573058","25.0303745","28.2258568","",
"Africa Western and Central","AFW","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5257349","","21.2492973","","24.1204769","","34.8777514","44.5305672","46.0945227","49.295015","54.4255762","53.1332233","57.8430134","56.8953125","61.247033","57.4447644","58.3535602","55.4732915","57.1993992","56.3440261","58.4702515","56.7179099","58.96248","58.7080974","54.9149657","52.3383191","56.6462987","60.5450271","56.0964488","",
"Angola","AGO","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5257349","","21.2492973","","24.1204769","","34.8777514","44.5305672","46.0945227","49.295015","54.4255762","53.1332233","57.8430134","56.8953125","61.247033","57.4447644","58.3535602","55.4732915","57.1993992","56.3440261","58.4702515","56.7179099","58.96248","58.7080974","54.9149657","52.3383191","56.6462987","60.5450271","56.0964488","",
"Albania","ALB","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5520676","","49.739082","","44.6039293","","54.7135105","58.453819","55.5004905","55.4743215","56.5138104","62.6735004","65.4214943","65.4291264","62.947713","59.9492277","59.5782307","62.5947269","70.3506685","68.0342241","68.7294282","68.6928685","68.4601043","65.9691253","65.8092347","66.3035591","66.0915577","66.3155692","66.243999","",
"Albania","ALB","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5520676","","49.739082","","44.6039293","","54.7135105","58.453819","55.5004905","55.4743215","56.5138104","62.6735004","65.4214943","65.4291264","62.947713","59.9492277","59.5782307","62.5947269","70.3506685","68.0342241","68.7294282","68.6928685","68.4601043","65.9691253","65.8092347","66.3035591","66.0915577","66.3155692","66.243999","",
"Andorra","AND","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.8909764","","82.4823696","","82.8419629","","84.2992147","82.1422151","75.7775322","79.5351991","81.4343553","83.3153897","78.3324221","84.4368651","79.7902171","79.8047638","79.6105819","79.1135654","81.2419499","80.2130602","77.7250567","78.1809681","80.134659","80.0644793","80.0198861","80.2357804","80.981136","79.2684716","79.3661459","",
"United Arab Emirates","ARE","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.8909764","","82.4823696","","82.8419629","","84.2992147","82.1422151","75.7775322","79.5351991","81.4343553","83.3153897","78.3324221","84.4368651","79.7902171","79.8047638","79.6105819","79.1135654","81.2419499","80.2130602","77.7250567","78.1809681","80.134659","80.0644793","80.0198861","80.2357804","80.981136","79.2684716","79.3661459","",
"Argentina","ARG","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3960884","","63.6638882","","64.9216269","","54.6425142","61.6145658","60.2836786","67.3157037","67.2858656","69.3808931","66.0866672","62.7380535","64.2279773","67.9502203","67.2692554","66.4491046","65.6687607","65.3668058","69.1957678","69.9838411","67.9516636","66.8707383","66.8381534","67.4693134","66.8790416","65.539658","62.9948599","",
"Argentina","ARG","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3960884","","63.6638882","","64.9216269","","54.6425142","61.6145658","60.2836786","67.3157037","67.2858656","69.3808931","66.0866672","62.7380535","64.2279773","67.9502203","67.2692554","66.4491046","65.6687607","65.3668058","69.1957678","69.9838411","67.9516636","66.8707383","66.8381534","67.4693134","66.8790416","65.539658","62.9948599","",
"Armenia","ARM","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4533819","","50.679255","","51.7676826","","61.2990584","66.8831156","62.1107402","63.9139423","62.742575","68.9086074","63.4800457","68.4554069","66.1868696","63.4595307","66.8552572","65.4130594","61.8660138","63.5155345","59.239383","60.7427842","65.8279441","67.0622606","60.8795173","57.3211381","59.8197748","57.3152603","53.5393178","",
"Armenia","ARM","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4533819","","50.679255","","51.7676826","","61.2990584","66.8831156","62.1107402","63.9139423","62.742575","68.9086074","63.4800457","68.4554069","66.1868696","63.4595307","66.8552572","65.4130594","61.8660138","63.5155345","59.239383","60.7427842","65.8279441","67.0622606","60.8795173","57.3211381","59.8197748","57.3152603","53.5393178","",
"American Samoa","ASM","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.8904941","78.0433194","78.1199851","82.8895608","82.873967","83.0575788","82.8784714","82.7155864","82.698392","82.6458541","87.4702977","87.4300005","87.3296631","87.3419568","87.4284341","87.1971851","87.1872948","87.148494","87.2152796","87.2261384","87.2981254","",
"American Samoa","ASM","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.8904941","78.0433194","78.1199851","82.8895608","82.873967","83.0575788","82.8784714","82.7155864","82.698392","82.6458541","87.4702977","87.4300005","87.3296631","87.3419568","87.4284341","87.1971851","87.1872948","87.148494","87.2152796","87.2261384","87.2981254","",
"Antigua and Barbuda","ATG","Political Stability - Governance score (0-100)","GOV_WGI_PV_SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.9640044","","77.9794394","","77.9438311","","77.9810314","78.3223166","82.3920916","79.1970551","79.2395746","79.3097954","79.301147","79.4029824","81.8787451","81.7884039","81.7788673","81.7497295","81.9376032","81.5439286","78.5409713","76.3931377","79.3888593","81.5566579","81.5492154","81.5200195","84.320676","84.3288462","84.2254939","",
