reporterISO,reporterDesc,refYear,import_value,previous_year,previous_import_value,growth_percent,next_year,next_year_import_value
ABW,Aruba,2021,6580853.538,,,,2022.0,8428034.518
ABW,Aruba,2022,8428034.518,2021.0,6580853.538,28.069018241080318,2023.0,9101790.374
ABW,Aruba,2023,9101790.374,2022.0,8428034.518,7.994222787780954,,
AGO,Angola,2021,10815357.58,,,,2022.0,29010841.78
AGO,Angola,2022,29010841.78,2021.0,10815357.58,168.23747218166415,2023.0,15935906.44
AGO,Angola,2023,15935906.44,2022.0,29010841.78,-45.06913463301788,2024.0,9524936.44
AGO,Angola,2024,9524936.44,2023.0,15935906.44,-40.229716609706706,2025.0,12792968.42
AGO,Angola,2025,12792968.42,2024.0,9524936.44,34.310275985421704,,
ALB,Albania,2021,8036671.853,,,,2022.0,382170.394
ALB,Albania,2022,382170.394,2021.0,8036671.853,-95.2446684275489,2023.0,13401826.107
ALB,Albania,2023,13401826.107,2022.0,382170.394,3406.7672214818404,2024.0,18200434.557
ALB,Albania,2024,18200434.557,2023.0,13401826.107,35.80563134969797,,
AND,Andorra,2021,9387679.947,,,,2022.0,12740298.065
AND,Andorra,2022,12740298.065,2021.0,9387679.947,35.71295716223674,2023.0,11874490.647
AND,Andorra,2023,11874490.647,2022.0,12740298.065,-6.795817598479394,2024.0,13467824.126
AND,Andorra,2024,13467824.126,2023.0,11874490.647,13.41812062821022,2025.0,14318404.506
AND,Andorra,2025,14318404.506,2024.0,13467824.126,6.315648110951572,,
ARE,United Arab Emirates,2021,326466432.046,,,,2022.0,346347998.402
ARE,United Arab Emirates,2022,346347998.402,2021.0,326466432.046,6.089926682936468,2023.0,340253760.712
ARE,United Arab Emirates,2023,340253760.712,2022.0,346347998.402,-1.7595706393909987,,
ARG,Argentina,2021,3501366.27,,,,2022.0,3946944.83
ARG,Argentina,2022,3946944.83,2021.0,3501366.27,12.72584830149746,2023.0,2866077.37
ARG,Argentina,2023,2866077.37,2022.0,3946944.83,-27.384914321186493,2024.0,4675935.36
ARG,Argentina,2024,4675935.36,2023.0,2866077.37,63.147562202760774,2025.0,18621188.97
ARG,Argentina,2025,18621188.97,2024.0,4675935.36,298.23452499565775,,
ARM,Armenia,2021,7167697.94,,,,2022.0,9938806.21
ARM,Armenia,2022,9938806.21,2021.0,7167697.94,38.661063750127845,2023.0,12291200.9
ARM,Armenia,2023,12291200.9,2022.0,9938806.21,23.668785166905867,2024.0,15780482.02
ARM,Armenia,2024,15780482.02,2023.0,12291200.9,28.388447543803462,2025.0,17417760.83
ARM,Armenia,2025,17417760.83,2024.0,15780482.02,10.375340930175202,,
ATG,Antigua and Barbuda,2021,3846017.237,,,,2022.0,7617337.996
ATG,Antigua and Barbuda,2022,7617337.996,2021.0,3846017.237,98.05782258900469,2023.0,5604393.283
ATG,Antigua and Barbuda,2023,5604393.283,2022.0,7617337.996,-26.425828997702787,2024.0,6929787.019
ATG,Antigua and Barbuda,2024,6929787.019,2023.0,5604393.283,23.649192143962544,,
AUS,Australia,2021,661195087.177,,,,2022.0,694405429.332
AUS,Australia,2022,694405429.332,2021.0,661195087.177,5.022775093020263,2023.0,486928241.038
AUS,Australia,2023,486928241.038,2022.0,694405429.332,-29.878393735139387,2024.0,577250074.218
AUS,Australia,2024,577250074.218,2023.0,486928241.038,18.5493108774012,2025.0,603201415.975
AUS,Australia,2025,603201415.975,2024.0,577250074.218,4.4956844383530346,,
AUT,Austria,2021,509107620.233,,,,2022.0,480644663.697
AUT,Austria,2022,480644663.697,2021.0,509107620.233,-5.590754371928964,2023.0,460711279.228
AUT,Austria,2023,460711279.228,2022.0,480644663.697,-4.147218511837283,2024.0,477890248.121
AUT,Austria,2024,477890248.121,2023.0,460711279.228,3.728792774899344,2025.0,509038568.896
AUT,Austria,2025,509038568.896,2024.0,477890248.121,6.51788164698297,,
AZE,Azerbaijan,2021,20098724.62,,,,2022.0,26483246.64
AZE,Azerbaijan,2022,26483246.64,2021.0,20098724.62,31.765806740029852,2023.0,26954349.02
AZE,Azerbaijan,2023,26954349.02,2022.0,26483246.64,1.7788694354734105,2024.0,35850301.11
AZE,Azerbaijan,2024,35850301.11,2023.0,26954349.02,33.00377272476232,2025.0,25263011.91
AZE,Azerbaijan,2025,25263011.91,2024.0,35850301.11,-29.531939404120667,,
BDI,Burundi,2021,1111242.005,,,,2022.0,1389990.494
BDI,Burundi,2022,1389990.494,2021.0,1111242.005,25.084408953745417,2023.0,1330261.075
BDI,Burundi,2023,1330261.075,2022.0,1389990.494,-4.297109890882462,,
BEL,Belgium,2021,423824838.345,,,,2022.0,418742306.772
BEL,Belgium,2022,418742306.772,2021.0,423824838.345,-1.1992056890405167,2023.0,389253567.576
BEL,Belgium,2023,389253567.576,2022.0,418742306.772,-7.042216350987504,2024.0,364914166.269
BEL,Belgium,2024,364914166.269,2023.0,389253567.576,-6.252839622914394,2025.0,393631512.471
BEL,Belgium,2025,393631512.471,2024.0,364914166.269,7.869616708941564,,
BEN,Benin,2021,1140829.014,,,,2022.0,6925466.512
BEN,Benin,2022,6925466.512,2021.0,1140829.014,507.05560842266584,2023.0,1201286.176
BEN,Benin,2023,1201286.176,2022.0,6925466.512,-82.65407573744687,2024.0,1188127.524
BEN,Benin,2024,1188127.524,2023.0,1201286.176,-1.095380290133298,,
BFA,Burkina Faso,2021,5743640.853,,,,2022.0,5758390.181
BFA,Burkina Faso,2022,5758390.181,2021.0,5743640.853,0.25679405062898253,2023.0,5857386.862
BFA,Burkina Faso,2023,5857386.862,2022.0,5758390.181,1.7191728571405722,2024.0,6237702.955
BFA,Burkina Faso,2024,6237702.955,2023.0,5857386.862,6.492931096412876,,
BGR,Bulgaria,2021,87829271.869,,,,2022.0,99316675.889
BGR,Bulgaria,2022,99316675.889,2021.0,87829271.869,13.079243144738584,2023.0,97895771.7
BGR,Bulgaria,2023,97895771.7,2022.0,99316675.889,-1.4306803729396367,2024.0,98990085.415
BGR,Bulgaria,2024,98990085.415,2023.0,97895771.7,1.117835526495986,2025.0,116167423.167
BGR,Bulgaria,2025,116167423.167,2024.0,98990085.415,17.352584028983067,,
BHR,Bahrain,2021,22140597.007,,,,2022.0,20681352.889
BHR,Bahrain,2022,20681352.889,2021.0,22140597.007,-6.590807454463149,2023.0,28716234.527
BHR,Bahrain,2023,28716234.527,2022.0,20681352.889,38.85085120458244,2024.0,34434860.906
BHR,Bahrain,2024,34434860.906,2023.0,28716234.527,19.914262692147723,,
BHS,Bahamas,2021,16964164.0,,,,2022.0,31633542.0
BHS,Bahamas,2022,31633542.0,2021.0,16964164.0,86.47274336654608,2023.0,36203816.0
BHS,Bahamas,2023,36203816.0,2022.0,31633542.0,14.447556963428248,2024.0,36602283.0
BHS,Bahamas,2024,36602283.0,2023.0,36203816.0,1.1006215477396084,,
BIH,Bosnia Herzegovina,2021,30973527.88,,,,2022.0,30649625.17
BIH,Bosnia Herzegovina,2022,30649625.17,2021.0,30973527.88,-1.045740450538556,2023.0,35049344.363
BIH,Bosnia Herzegovina,2023,35049344.363,2022.0,30649625.17,14.354887436948047,2024.0,36915023.099
