reporterISO,reporterDesc,refYear,previous_import_value,import_value,growth_percent
AGO,Angola,2025,9524936.44,12792968.42,34.310275985421704
AND,Andorra,2025,13467824.126,14318404.506,6.315648110951572
ARG,Argentina,2025,4675935.36,18621188.97,298.23452499565775
ARM,Armenia,2025,15780482.02,17417760.83,10.375340930175202
AUS,Australia,2025,577250074.218,603201415.975,4.4956844383530346
AUT,Austria,2025,477890248.121,509038568.896,6.51788164698297
AZE,Azerbaijan,2025,35850301.11,25263011.91,-29.531939404120667
BEL,Belgium,2025,364914166.269,393631512.471,7.869616708941564
BGR,Bulgaria,2025,98990085.415,116167423.167,17.352584028983067
BIH,Bosnia Herzegovina,2025,36915023.099,38965705.484,5.555143171657799
BLZ,Belize,2025,727664.28,742966.825,2.1029677312180177
BMU,Bermuda,2025,13456870.54,14365629.68,6.753123895327306
BOL,Bolivia (Plurinational State of),2025,2152275.0,2080165.0,-3.350408288903602
BRA,Brazil,2025,11133998.0,11631040.0,4.4641825874227745
BRB,Barbados,2025,4935583.5,8504804.0,72.31607975024636
CAN,Canada,2025,735820633.42,772380931.709,4.968642713791873
CHE,Switzerland,2025,664715571.551,707534511.95,6.441693595215376
CHL,Chile,2025,71301016.28,74093861.743,3.9169784790057687
COL,Colombia,2025,28123030.33,31998532.54,13.780528501104813
CYP,Cyprus,2025,47546483.05,57706523.135,21.36864691824983
CZE,Czechia,2025,374920995.0,298126959.0,-20.482724900482033
DEU,Germany,2025,2258093198.564,2764834109.814,22.44109816070719
DNK,Denmark,2025,333523163.187,378263453.536,13.414447716758737
DOM,Dominican Rep.,2025,42484881.035,47607145.959,12.056677103038528
ECU,Ecuador,2025,13109451.765,11539154.466,-11.978359790700221
EGY,Egypt,2025,22158806.678,24480132.866,10.475862810359237
ESP,Spain,2025,675894610.212,788217443.6,16.61839459746084
EST,Estonia,2025,36567881.31,29313231.89,-19.838856286202493
FIN,Finland,2025,106947705.839,114157945.3,6.741836493299214
FJI,Fiji,2025,7916682.485,6279551.402,-20.67950920226909
FRA,France,2025,1488445256.97,1504455337.143,1.0756243871266906
GBR,United Kingdom,2025,1713201481.749,1825778303.436,6.571137305582461
GEO,Georgia,2025,32432153.034,33978969.707,4.769392495707598
GHA,Ghana,2025,13166815.062,15266497.17,15.9467729903777
GRC,Greece,2025,144004796.335,146795229.227,1.9377360775599266
GTM,Guatemala,2025,26046926.0,23611522.0,-9.350063036229304
GUY,Guyana,2025,3911712.417,3716055.296,-5.001827847816447
HKG,"China, Hong Kong SAR",2025,248471363.169,239070602.048,-3.783438461922866
