reporterISO,reporterDesc,refYear,previous_import_value,import_value,growth_percent,next_year_import_value
ABW,Aruba,2022,6580853.538,8428034.518,28.069018241080318,9101790.374
AGO,Angola,2022,10815357.58,29010841.78,168.23747218166415,15935906.44
AGO,Angola,2023,29010841.78,15935906.44,-45.06913463301788,9524936.44
AGO,Angola,2024,15935906.44,9524936.44,-40.229716609706706,12792968.42
ALB,Albania,2022,8036671.853,382170.394,-95.2446684275489,13401826.107
ALB,Albania,2023,382170.394,13401826.107,3406.7672214818404,18200434.557
AND,Andorra,2022,9387679.947,12740298.065,35.71295716223674,11874490.647
AND,Andorra,2023,12740298.065,11874490.647,-6.795817598479394,13467824.126
AND,Andorra,2024,11874490.647,13467824.126,13.41812062821022,14318404.506
ARE,United Arab Emirates,2022,326466432.046,346347998.402,6.089926682936468,340253760.712
ARG,Argentina,2022,3501366.27,3946944.83,12.72584830149746,2866077.37
ARG,Argentina,2023,3946944.83,2866077.37,-27.384914321186493,4675935.36
ARG,Argentina,2024,2866077.37,4675935.36,63.147562202760774,18621188.97
ARM,Armenia,2022,7167697.94,9938806.21,38.661063750127845,12291200.9
ARM,Armenia,2023,9938806.21,12291200.9,23.668785166905867,15780482.02
ARM,Armenia,2024,12291200.9,15780482.02,28.388447543803462,17417760.83
ATG,Antigua and Barbuda,2022,3846017.237,7617337.996,98.05782258900469,5604393.283
ATG,Antigua and Barbuda,2023,7617337.996,5604393.283,-26.425828997702787,6929787.019
AUS,Australia,2022,661195087.177,694405429.332,5.022775093020263,486928241.038
AUS,Australia,2023,694405429.332,486928241.038,-29.878393735139387,577250074.218
AUS,Australia,2024,486928241.038,577250074.218,18.5493108774012,603201415.975
AUT,Austria,2022,509107620.233,480644663.697,-5.590754371928964,460711279.228
AUT,Austria,2023,480644663.697,460711279.228,-4.147218511837283,477890248.121
AUT,Austria,2024,460711279.228,477890248.121,3.728792774899344,509038568.896
AZE,Azerbaijan,2022,20098724.62,26483246.64,31.765806740029852,26954349.02
AZE,Azerbaijan,2023,26483246.64,26954349.02,1.7788694354734105,35850301.11
AZE,Azerbaijan,2024,26954349.02,35850301.11,33.00377272476232,25263011.91
BDI,Burundi,2022,1111242.005,1389990.494,25.084408953745417,1330261.075
BEL,Belgium,2022,423824838.345,418742306.772,-1.1992056890405167,389253567.576
BEL,Belgium,2023,418742306.772,389253567.576,-7.042216350987504,364914166.269
BEL,Belgium,2024,389253567.576,364914166.269,-6.252839622914394,393631512.471
BEN,Benin,2022,1140829.014,6925466.512,507.05560842266584,1201286.176
BEN,Benin,2023,6925466.512,1201286.176,-82.65407573744687,1188127.524
BFA,Burkina Faso,2022,5743640.853,5758390.181,0.25679405062898253,5857386.862
BFA,Burkina Faso,2023,5758390.181,5857386.862,1.7191728571405722,6237702.955
BGR,Bulgaria,2022,87829271.869,99316675.889,13.079243144738584,97895771.7
BGR,Bulgaria,2023,99316675.889,97895771.7,-1.4306803729396367,98990085.415
BGR,Bulgaria,2024,97895771.7,98990085.415,1.117835526495986,116167423.167
BHR,Bahrain,2022,22140597.007,20681352.889,-6.590807454463149,28716234.527
BHR,Bahrain,2023,20681352.889,28716234.527,38.85085120458244,34434860.906
BHS,Bahamas,2022,16964164.0,31633542.0,86.47274336654608,36203816.0
BHS,Bahamas,2023,31633542.0,36203816.0,14.447556963428248,36602283.0
BIH,Bosnia Herzegovina,2022,30973527.88,30649625.17,-1.045740450538556,35049344.363
BIH,Bosnia Herzegovina,2023,30649625.17,35049344.363,14.354887436948047,36915023.099
BIH,Bosnia Herzegovina,2024,35049344.363,36915023.099,5.323006093002737,38965705.484
BLZ,Belize,2022,326448.645,424722.265,30.103852935275622,664133.35
BLZ,Belize,2023,424722.265,664133.35,56.368856716282565,727664.28
BLZ,Belize,2024,664133.35,727664.28,9.565990022937418,742966.825
BMU,Bermuda,2022,14647426.14,9373731.7,-36.00423985479814,10056151.41
BMU,Bermuda,2023,9373731.7,10056151.41,7.2801284679398375,13456870.54
BMU,Bermuda,2024,10056151.41,13456870.54,33.817302378902816,14365629.68
BOL,Bolivia (Plurinational State of),2022,3330348.13,3400319.0,2.1010076805393947,3390625.0
BOL,Bolivia (Plurinational State of),2023,3400319.0,3390625.0,-0.2850908988244927,2152275.0
BOL,Bolivia (Plurinational State of),2024,3390625.0,2152275.0,-36.52276497695853,2080165.0
BRA,Brazil,2022,9921811.0,8049730.0,-18.8683396609752,7661560.0
BRA,Brazil,2023,8049730.0,7661560.0,-4.822149314324829,11133998.0
BRA,Brazil,2024,7661560.0,11133998.0,45.322858530116584,11631040.0
BRB,Barbados,2022,3206859.5,5206346.0,62.35029941286795,4285411.5
BRB,Barbados,2023,5206346.0,4285411.5,-17.688691838767532,4935583.5
BRB,Barbados,2024,4285411.5,4935583.5,15.171751884270623,8504804.0
BRN,Brunei Darussalam,2022,4995860.38,4870878.441,-2.5017100057548096,3579599.414
BRN,Brunei Darussalam,2023,4870878.441,3579599.414,-26.510187898158634,2568612.091
BWA,Botswana,2022,7261193.534,6130312.527,-15.574312979054117,5422024.428
CAF,Central African Rep.,2022,923610.919,548544.141,-40.608742305265025,219075.447
CAF,Central African Rep.,2023,548544.141,219075.447,-60.062385025091345,604040.01
CAN,Canada,2022,790858281.107,806266446.92,1.948284058103616,710731748.494
CAN,Canada,2023,806266446.92,710731748.494,-11.84902320950474,735820633.42
CAN,Canada,2024,710731748.494,735820633.42,3.530007626528844,772380931.709
CHE,Switzerland,2022,730074273.238,689973062.578,-5.492757672742609,686908667.66
CHE,Switzerland,2023,689973062.578,686908667.66,-0.4441325443272011,664715571.551
CHE,Switzerland,2024,686908667.66,664715571.551,-3.230865638164419,707534511.95
CHL,Chile,2022,112946528.111,104976083.066,-7.056830500506328,55838330.307
CHL,Chile,2023,104976083.066,55838330.307,-46.80852183073584,71301016.28
CHL,Chile,2024,55838330.307,71301016.28,27.691884567439462,74093861.743
CHN,China,2022,335833926.0,258763517.0,-22.9489646617775,204715550.0
CHN,China,2023,258763517.0,204715550.0,-20.887012058968114,183249388.0
CIV,Côte d'Ivoire,2022,16041800.062,18966210.057,18.229936688510257,14458506.582
CIV,Côte d'Ivoire,2023,18966210.057,14458506.582,-23.767022834044315,20596683.703
CMR,Cameroon,2022,7426371.19,6762220.44,-8.943139697815186,6623697.828
COD,Dem. Rep. of the Congo,2022,4974754.254,6507861.654,30.81775142495311,12649119.12
COG,Congo,2022,2730525.08,2711636.809,-0.6917450104505242,7299600.689
COL,Colombia,2022,21837904.66,21006454.69,-3.807370638094904,19494857.88
COL,Colombia,2023,21006454.69,19494857.88,-7.195868280998359,28123030.33
COL,Colombia,2024,19494857.88,28123030.33,44.258709158643015,31998532.54
COM,Comoros,2022,1871317.265,1547045.395,-17.32853514820748,1897186.309
CPV,Cabo Verde,2022,1677307.298,1676401.302,-0.054014908364158495,1646865.601
CPV,Cabo Verde,2023,1676401.302,1646865.601,-1.761851471050688,1393352.575
CRI,Costa Rica,2022,13788744.62,14401041.93,4.44055878090518,14727057.49
CRI,Costa Rica,2023,14401041.93,14727057.49,2.2638331419676696,21522623.2
CYM,Cayman Isds,2022,14223905.236,8551651.192,-39.87831717019462,7630405.443
CYM,Cayman Isds,2023,8551651.192,7630405.443,-10.772723633323793,4682765.035
CYP,Cyprus,2022,49236111.858,47524951.331,-3.4754176607915257,51223629.266
CYP,Cyprus,2023,47524951.331,51223629.266,7.782602257158748,47546483.05
CYP,Cyprus,2024,51223629.266,47546483.05,-7.178613207793018,57706523.135
CZE,Czechia,2022,431218853.0,418262101.0,-3.004681244769231,408303362.0
CZE,Czechia,2023,418262101.0,408303362.0,-2.3809804847702423,374920995.0
CZE,Czechia,2024,408303362.0,374920995.0,-8.17587365347239,298126959.0
DEU,Germany,2022,2673324149.015,2416885019.674,-9.5925190903425,2264819401.77
DEU,Germany,2023,2416885019.674,2264819401.77,-6.291801913047196,2258093198.564
DEU,Germany,2024,2264819401.77,2258093198.564,-0.29698629395099646,2764834109.814
DJI,Djibouti,2022,2601015.017,1658826.27,-36.223887245630614,1381739.836
DMA,Dominica,2022,426782.536,450812.512,5.630496558087832,712165.214
DNK,Denmark,2022,377374586.573,366986536.356,-2.75271589200947,328746504.462
DNK,Denmark,2023,366986536.356,328746504.462,-10.420009484191201,333523163.187
DNK,Denmark,2024,328746504.462,333523163.187,1.4529914874127887,378263453.536
DOM,Dominican Rep.,2022,24386580.279,23276596.615,-4.551616714196866,26099771.85
DOM,Dominican Rep.,2023,23276596.615,26099771.85,12.128814541472446,42484881.035
DOM,Dominican Rep.,2024,26099771.85,42484881.035,62.778744883932745,47607145.959
ECU,Ecuador,2022,12065940.153,11847674.7,-1.8089386341414386,11913561.9
ECU,Ecuador,2023,11847674.7,11913561.9,0.5561192526665264,13109451.765
ECU,Ecuador,2024,11913561.9,13109451.765,10.038054739951452,11539154.466
EGY,Egypt,2022,37789237.809,32703210.54,-13.458930541829286,41950133.622
EGY,Egypt,2023,32703210.54,41950133.622,28.275276125229027,22158806.678
EGY,Egypt,2024,41950133.622,22158806.678,-47.178221462495635,24480132.866
ESP,Spain,2022,660364980.597,693594080.428,5.031929434077402,636441540.268
ESP,Spain,2023,693594080.428,636441540.268,-8.24005593080214,675894610.212
ESP,Spain,2024,636441540.268,675894610.212,6.199009248734246,788217443.6
EST,Estonia,2022,38860980.41,38897604.28,0.09424329909746806,31923363.48
EST,Estonia,2023,38897604.28,31923363.48,-17.929743821230527,36567881.31
EST,Estonia,2024,31923363.48,36567881.31,14.548961399101302,29313231.89
ETH,Ethiopia,2022,22301163.21,30358645.956,36.130324997518365,15627362.948
FIN,Finland,2022,120160023.967,135063979.374,12.403422465272769,119849364.38
FIN,Finland,2023,135063979.374,119849364.38,-11.264746577523727,106947705.839
FIN,Finland,2024,119849364.38,106947705.839,-10.764895256426552,114157945.3
FJI,Fiji,2022,2472803.777,4464852.727,80.55831071306231,6947720.168
FJI,Fiji,2023,4464852.727,6947720.168,55.60916771085246,7916682.485
FJI,Fiji,2024,6947720.168,7916682.485,13.946478752308908,6279551.402
FRA,France,2022,1836805396.82,1722882882.065,-6.202209278796226,1508762668.848
FRA,France,2023,1722882882.065,1508762668.848,-12.428019074654767,1488445256.97
FRA,France,2024,1508762668.848,1488445256.97,-1.3466274250749568,1504455337.143
GAB,Gabon,2022,4267353.939,4621028.145,8.287904192050176,4831373.555
GBR,United Kingdom,2022,2164556566.93,2086955667.965,-3.585071425278648,1633109139.445
