country_code,country,import_value,growth_percent,predicted_demand_2026,predicted_growth_2026,gdp_per_capita,logistics_lpi,political_stability,available_indicators,data_coverage_percent
USA,USA,6433593498.0,-10.640702489649174,6041101666.857931,-6.100662580936798,90026.5163005744,3.8,64.2697196,5,100.0
DEU,Germany,2764834109.814,22.44109816070719,2324627896.1181674,-15.921613963502748,60496.4350820414,4.1,68.0170742,5,100.0
GBR,United Kingdom,1825778303.436,6.571137305582461,1647478107.1887133,-9.76570900813845,57601.9621201954,3.7,70.2964669,5,100.0
FRA,France,1504455337.143,1.0756243871266906,1396473526.5063002,-7.177468680576451,48985.7307807924,3.9,61.771486,5,100.0
NLD,Netherlands,918399424.133,8.816002799906048,837807933.3049706,-8.775211385189017,73683.917132794,4.1,73.2073612,5,100.0
JPN,Japan,867743868.685,-1.575787294086375,827771763.0499222,-4.606440572798562,35951.0449549304,3.9,85.270442,5,100.0
CAN,Canada,772380931.709,4.968642713791873,719097740.6871144,-6.8985637571333065,55697.6639660837,4.0,76.1173365,5,100.0
ESP,Spain,788217443.6,16.61839459746084,701339648.1899235,-11.022059472990392,38627.2472148623,3.9,65.8432851,5,100.0
CHE,Switzerland,707534511.95,6.441693595215376,656467979.008673,-7.217532442422519,114769.012314293,4.1,82.6457687,5,100.0
AUS,Australia,603201415.975,4.4956844383530346,566700885.1664863,-6.051134802048698,65129.7227990563,3.7,79.4447025,5,100.0
ITA,Italy,549566613.109,14.18142529712378,498529149.28895545,-9.286856698101827,43308.6403060733,3.7,71.1675431,5,100.0
AUT,Austria,509038568.896,6.51788164698297,476657321.7213055,-6.36125613132278,62930.0351324599,4.0,74.2916722,5,100.0
POL,Poland,432592351.0,18.929342454431293,388406180.6670413,-10.214274531395654,28419.5777395638,3.6,74.4122187,5,100.0
BEL,Belgium,393631512.471,7.869616708941564,369340426.97255504,-6.171021559213853,60750.2735864647,4.0,67.9689981,5,100.0
DNK,Denmark,378263453.536,13.414447716758737,347840305.7941941,-8.042846184956773,76970.1535217919,4.1,79.0280276,5,100.0
SWE,Sweden,362324625.402,16.23392800928734,330153576.0019436,-8.879067870245521,63133.2126736715,4.0,76.2033355,5,100.0
CZE,Czechia,298126959.0,-20.48272490048204,321962016.72070235,7.994935379427511,35917.2724081665,3.3,82.4960109,5,100.0
NOR,Norway,328249168.006,16.77375239505334,299371159.89645696,-8.797587602420114,94594.1929573987,3.7,81.3235982,5,100.0
MYS,Malaysia,316400977.891,35.70192248654758,271360263.16625017,-14.235327281531449,13124.5554178269,3.6,72.4670498,5,100.0
ROU,Romania,256799987.72,3.650769599955821,248135737.06288105,-3.373929544952296,22537.9532108047,3.2,68.6083999,5,100.0
SAU,Saudi Arabia,244888936.661,-5.000219507723688,246026844.1674961,0.4646626842401248,34536.6555456551,3.4,65.0715555,5,100.0
HKG,"China, Hong Kong SAR",239070602.048,-3.783438461922866,239026120.4891444,-0.0186060345665972,56983.0663059906,4.0,76.6745657,5,100.0
SGP,Singapore,222004815.332,1.3380279740155825,217514678.05477032,-2.0225404888244576,98813.9788172877,4.3,86.9368376,5,100.0
KOR,Rep. of Korea,221678645.0,2.121389509672769,216486448.66220555,-2.3422176447327403,36226.9663637512,3.8,76.8155059,5,100.0
PRT,Portugal,204341337.695,6.005895467267456,196849186.20666155,-3.666488422191515,32081.8106150292,3.4,75.0659657,5,100.0
ISR,Israel,177279000.0,0.1921566189477729,175681509.370463,-0.9011166745846864,60336.8477964194,3.6,48.1722073,5,100.0
MEX,Mexico,174745291.0,-0.2123697886946985,173544775.6390478,-0.6870087051170943,13889.2339628708,2.9,53.6732923,5,100.0
IRL,Ireland,167421152.32,2.253785923732847,164736579.25208747,-1.6034850021706737,131592.462547877,3.6,78.0218154,5,100.0
SVK,Slovakia,162498940.4,21.05982714434873,148963781.3133583,-8.329382981405397,28543.6653439813,3.3,76.7304703,5,100.0
GRC,Greece,146795229.227,1.9377360775599264,145182887.41843823,-1.0983611777113629,26948.0070432791,3.7,68.2759168,5,100.0
HUN,Hungary,148739987.981,8.072372847438068,143417384.60927877,-3.5784616120858805,25907.4743259406,3.2,73.3475875,5,100.0
HRV,Croatia,131843698.0,18.032440087795266,122892482.35605168,-6.789263180367053,27103.9116109268,3.3,75.8257878,5,100.0
FIN,Finland,114157945.3,6.741836493299214,111503629.11273302,-2.325126105144585,56148.580949046,4.2,80.1160128,5,100.0
BGR,Bulgaria,116167423.167,17.352584028983067,108940957.51236404,-6.220733367088058,20328.1667065538,3.2,66.5764069,5,100.0
PHL,Philippines,100646084.0,0.102477495958199,101419397.6704937,0.7683494873915879,4170.72347271451,3.3,52.6707116,5,100.0
