reporterISO,reporterDesc,refYear,actual_2025_value,predicted_2025_value
USA,USA,2024,6433593498.0,5715021678.728828
DEU,Germany,2024,2764834109.814,1947539773.6327093
GBR,United Kingdom,2024,1825778303.436,1457203172.8391914
FRA,France,2024,1504455337.143,1311669494.771211
NLD,Netherlands,2024,918399424.133,778174047.043741
JPN,Japan,2024,867743868.685,810140137.8984152
ESP,Spain,2024,788217443.6,592736818.3600821
CAN,Canada,2024,772380931.709,651125137.806006
CHE,Switzerland,2024,707534511.95,610326673.1535989
AUS,Australia,2024,603201415.975,483173779.4882169
ITA,Italy,2024,549566613.109,430796795.9965535
AUT,Austria,2024,509038568.896,429706395.9250092
POL,Poland,2024,432592351.0,331465039.35611457
BEL,Belgium,2024,393631512.471,348416482.0719997
DNK,Denmark,2024,378263453.536,307455510.02903366
SWE,Sweden,2024,362324625.402,289358711.6922831
NOR,Norway,2024,328249168.006,260545192.15856263
MYS,Malaysia,2024,316400977.891,193056600.03233275
CZE,Czechia,2024,298126959.0,361258166.0437448
ROU,Romania,2024,256799987.72,233143072.81733552
SAU,Saudi Arabia,2024,244888936.661,212277865.3590653
HKG,"China, Hong Kong SAR",2024,239070602.048,222916825.63317564
SGP,Singapore,2024,222004815.332,203544500.62060118
KOR,Rep. of Korea,2024,221678645.0,193242600.88095874
PRT,Portugal,2024,204341337.695,173332171.8181356
ISR,Israel,2024,177279000.0,166473728.40734938
MEX,Mexico,2024,174745291.0,141034153.06261727
IRL,Ireland,2024,167421152.32,149665507.05243322
SVK,Slovakia,2024,162498940.4,125467914.25942867
HUN,Hungary,2024,148739987.981,128736927.94631322
GRC,Greece,2024,146795229.227,132434145.63226788
HRV,Croatia,2024,131843698.0,106024297.64913811
BGR,Bulgaria,2024,116167423.167,95862515.41671006
FIN,Finland,2024,114157945.3,109789018.87222165
THA,Thailand,2024,105366117.047,83808574.0419218
TUR,Türkiye,2024,104528702.0,77673795.05196586
PHL,Philippines,2024,100646084.0,103502705.16745362
NZL,New Zealand,2024,78129040.989,74608447.43228473
CHL,Chile,2024,74093861.743,62547630.12296745
IND,India,2024,73693910.889,54583008.42661432
KWT,Kuwait,2024,71316574.884,83808716.79162759
KAZ,Kazakhstan,2024,68475236.62,78272675.07963859
MAR,Morocco,2024,64685976.347,58408843.156597994
IDN,Indonesia,2024,61344884.587,60314122.845899284
LTU,Lithuania,2024,58843710.0,60108447.70699198
CYP,Cyprus,2024,57706523.135,49417192.04992065
SVN,Slovenia,2024,55546685.816,52828459.298035175
ZAF,South Africa,2024,52449212.704,40353471.304572396
SRB,Serbia,2024,49384713.0,35387738.58639749
LUX,Luxembourg,2024,48382652.428,48324020.46794743
DOM,Dominican Rep.,2024,47607145.959,34018495.762584016
ISL,Iceland,2024,42744903.901,33280453.525101326
MNE,Montenegro,2024,41015674.156,26727173.12143707
BIH,Bosnia Herzegovina,2024,38965705.484,36431446.01531045
LVA,Latvia,2024,35578111.926,34988604.63168384
GEO,Georgia,2024,33978969.707,30986006.48704819
PAN,Panama,2024,32266060.0,38152214.50386631
COL,Colombia,2024,31998532.54,24176375.31942133
EST,Estonia,2024,29313231.89,34671742.37692296
AZE,Azerbaijan,2024,25263011.91,31697980.956937965
EGY,Egypt,2024,24480132.866,31565514.667961556
GTM,Guatemala,2024,23611522.0,23718086.989721008
MLT,Malta,2024,22387698.204,24446815.756545857
PRY,Paraguay,2024,19059078.849,7906272.016885155
ARG,Argentina,2024,18621188.97,4078649.877845934
ARM,Armenia,2024,17417760.83,14649642.324061105
MKD,North Macedonia,2024,16875617.088,15671837.256618805
GHA,Ghana,2024,15266497.17,12808614.029734002
SLV,El Salvador,2024,14870014.32,12633673.755750528
BMU,Bermuda,2024,14365629.68,12329520.721574722
AND,Andorra,2024,14318404.506,13343188.870948318
MDA,Rep. of Moldova,2024,13441852.0,12605535.263584884
AGO,Angola,2024,12792968.42,13160086.886433326
JAM,Jamaica,2024,12372497.954,14263021.349212136
MDV,Maldives,2024,12019052.331,10972377.754246505
MUS,Mauritius,2024,11861652.405,10984218.65836171
BRA,Brazil,2024,11631040.0,9892472.772047445
ECU,Ecuador,2024,11539154.466,13192205.37806394
TTO,Trinidad and Tobago,2024,9624694.749,7443069.9844337385
NGA,Nigeria,2024,9156233.669,6783540.6829213165
BRB,Barbados,2024,8504804.0,5049153.395283874
MAC,"China, Macao SAR",2024,7825466.045,13650559.28801158
TGO,Togo,2024,6862656.336,7276823.983492163
FJI,Fiji,2024,6279551.402,7990860.2124377135
KGZ,Kyrgyzstan,2024,6151720.0,6674833.6404756205
PYF,French Polynesia,2024,4845893.748,4823454.998372953
GUY,Guyana,2024,3716055.296,4832552.5823185695
SUR,Suriname,2024,2860415.85,2061219.4536721527
LKA,Sri Lanka,2024,2778609.789,5231733.323145433
BOL,Bolivia (Plurinational State of),2024,2080165.0,3056783.4264261066
PAK,Pakistan,2024,976787.612,800746.1990208366
BLZ,Belize,2024,742966.825,821933.2317412514
MMR,Myanmar,2024,445914.23,1955053.5559655612
